GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
MI	389.9106285345388	491.42892679567916
WI	350.79857581563186	492.12160415202516
MN	314.21128476059255	511.2542551342278
IL	360.8473269771434	438.0266109828734
IA	321.51006092985756	461.26934091651486
IN	387.356595981056	438.6052533165032
OH	418.2756870089542	446.7582754525679
KY	399.0535408494511	411.49225175798176
SD	263.92232229234384	490.68055600650433
NE	265.7352126315916	455.8813985760883
ND	264.3978452439981	525.9465240657181
WV	440.6290000742052	429.4408341272365
MO	331.89491353682104	416.95154175196006
WY	199.6231136138799	479.28966344003396
MT	189.81158776417408	529.073527413826
PA	461.35159962411393	460.58922830604
VA	459.1862952674709	420.37926366791885
CO	211.9450900974784	429.5055434460539
TN	392.0399857259476	390.98077801102653
NY	475.64688488919313	489.22388004306043
KS	277.6066911595661	418.98380211565535
UT	156.7040286416008	441.16670413578765
OK	284.0460071957148	384.02535227749763
NM	200.28037230148757	375.8526909285225
ID	142.54463610974744	505.795555120488
AZ	146.62214533923375	382.1940894827591
AR	332.9065000577969	375.4880431129426
NV	112.37208715690149	450.7588268440975
TX	264.7104414447389	335.0116782697608
OR	92.89574858144715	512.2844629638842
WA	104.08836390753662	551.3550127296055
NC	458.7934388702119	396.09033993535155
NJ	491.0120820516947	458.45217798418923
MS	361.89690985925023	351.2602578804681
CA	81.27559290283345	431.88681718531234
MD	473.2098174886269	440.8524305734975
AL	390.40067393238775	353.4646611232423
CT	503.66989980570764	478.60155864501735
GA	423.6468995459305	355.537212894347
LA	338.71543315450305	330.0232168230932
MA	509.9728753240902	488.2358807222311
VT	497.4133616990364	506.8545938211094
RI	513.2611415281026	482.1505865223421
DE	486.9087007671974	442.1647480376441
NH	507.6493957630815	504.9563312108479
SC	446.40915208712465	374.0048097779223
FL	439.5557423562654	309.2462110209438
ME	521.9381945606854	529.0785998746504
