Code	Country Names	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AL	Alabama	511	607	630	547	552	562	598	723	736	756
AZ	Arizona	943	828	1002	1098	1071	1134	1222	1211	1274	1382
AR	Arkansas	301	360	351	350	355	373	319	356	392	401
CA	California	3854	3863	4056	4057	4180	4040	4452	4521	4659	4654
CO	Colorado	734	749	769	654	843	807	846	899	869	942
CT	Connecticut	433	386	393	363	402	439	582	623	800	971
DE	Delaware	97	124	136	145	160	141	166	189	198	282
FL	Florida	2794	2963	3092	3061	2918	2597	2474	2634	3228	4728
GA	Georgia	923	935	1007	1054	1058	1056	1098	1206	1302	1394
ID	Idaho	126	146	171	178	193	181	207	212	218	243
IL	Illinois	1192	1353	1381	1288	1408	1628	1579	1705	1835	2411
IN	Indiana	781	830	896	927	975	1011	1064	1172	1245	1526
IA	Iowa	203	209	207	253	250	259	275	264	309	314
KS	Kansas	270	219	304	269	280	318	331	332	329	313
KY	Kentucky	708	764	769	1007	1058	1078	1019	1077	1273	1419
LA	Louisiana	808	647	584	591	601	566	809	777	861	996
ME	Maine	159	162	173	135	156	150	174	216	269	353
MD	Maryland	769	693	743	650	707	831	892	1070	1285	2044
MA	Massachusetts	922	786	816	738	857	859	1081	1289	1724	2227
MI	Michigan	1236	1239	1429	1394	1386	1308	1553	1762	1980	2347
MN	Minnesota	341	384	419	397	511	482	523	517	581	672
MS	Mississippi	314	303	323	334	302	310	316	336	351	352
MO	Missouri	714	765	863	998	963	942	1025	1067	1066	1371
MT	Montana	125	134	142	118	141	118	137	125	138	119
NE	Nebraska	80	94	106	117	129	146	117	125	126	120
NV	Nevada	499	519	550	578	639	602	614	545	619	665
NH	New Hampshire	186	126	168	160	210	173	203	334	422	481
NJ	New Jersey	727	702	263	868	1012	1222	1294	1253	1454	2056
NM	New Mexico	462	518	438	478	529	492	458	547	501	500
NY	New York	1708	1691	1592	1557	1948	2106	2309	2300	2754	3638
NC	North Carolina	1084	1196	1191	1093	1264	1298	1259	1358	1567	1956
ND	North Dakota	32	46	27	23	16	21	20	43	61	77
OH	Ohio	1592	1733	1236	1835	2025	2125	2347	2744	3310	4329
OK	Oklahoma	666	564	756	717	703	771	790	777	725	813
OR	Oregon	502	452	501	503	532	490	455	522	505	506
PA	Pennsylvania	1733	1850	1909	1916	2289	2365	2426	2732	3264	4627
RI	Rhode Island	135	185	161	167	190	196	241	247	310	326
SC	South Carolina	545	565	615	678	618	587	620	701	761	879
SD	South Dakota	32	54	49	45	57	42	55	63	65	69
TN	Tennessee	985	938	962	1080	1090	1131	1187	1269	1457	1630
TX	Texas	2194	2053	2409	2399	2589	2447	2446	2601	2588	2831
UT	Utah	511	468	478	129	112	601	594	603	646	635
VT	Vermont	66	73	55	433	504	70	93	83	99	125
VA	Virginia	700	718	685	63	83	733	854	980	1039	1405
WA	Washington	962	1011	987	558	798	985	969	979	1094	1102
WV	West Virginia	397	459	226	916	997	558	570	627	725	884
WI	Wisconsin	622	606	631	512	635	692	856	853	878	1074
WY	Wyoming	63	74	60	630	698	98	98	109	96	99
