Code	States	GDP 2016
AL	Alabama	203354.7
AZ	Arizona	310928.9
AR	Arkansas	119947.3
CA	California	2665348.9
CO	Colorado	328513.8
CT	Connecticut	263239.9
DE	Delaware	70484.1
FL	Florida	938086.1
GA	Georgia	538360.6
ID	Idaho	69203.4
IL	Illinois	803680.2
IN	Indiana	338711
IA	Iowa	180179.3
KS	Kansas	155580.4
KY	Kentucky	195034.8
LA	Louisiana	227983.9
ME	Maine	59447.3
MD	Maryland	384376.8
MA	Massachusetts	519564.2
MI	Michigan	490185
MN	Minnesota	338364.2
MS	Mississippi	106848.6
MO	Missouri	295960.5
MT	Montana	45595.5
NE	Nebraska	116283.1
NV	Nevada	149739.6
NH	New Hampshire	78418.2
NJ	New Jersey	582070.9
NM	New Mexico	90880
NY	New York	1540969.7
NC	North Carolina	518384
ND	North Dakota	51099.2
OH	Ohio	620931.2
OK	Oklahoma	178969.9
OR	Oregon	215336.1
PA	Pennsylvania	724668.3
RI	Rhode Island	57860
SC	South Carolina	212460.2
SD	South Dakota	48492.9
TN	Tennessee	334618.1
TX	Texas	1565698.8
UT	Utah	157474.7
VT	Vermont	31552.2
VA	Virginia	493699.5
WA	Washington	492251.4
WV	West Virginia	70191.4
WI	Wisconsin	312203.7
WY	Wyoming	35984.2
