Code	States	GeneralElections 2016
AL	Alabama	0.588281798
AZ	Arizona	0.549469793
AR	Arkansas	0.528310088
CA	California	0.564894776
CO	Colorado	0.699537843
CT	Connecticut	0.636884401
DE	Delaware	0.641608986
FL	Florida	0.645161037
GA	Georgia	0.591200293
ID	Idaho	0.591627233
IL	Illinois	0.616154846
IN	Indiana	0.563916203
IA	Iowa	0.684293666
KS	Kansas	0.576624792
KY	Kentucky	0.586198252
LA	Louisiana	0.599518733
ME	Maine	0.706676542
MD	Maryland	0.663890385
MA	Massachusetts	0.671994171
MI	Michigan	0.646749005
MN	Minnesota	0.741168405
MS	Mississippi	0.551905119
MO	Missouri	0.621658208
MT	Montana	0.618149473
NE	Nebraska	0.628228985
NV	Nevada	0.573711608
NH	New Hampshire	0.71375075
NJ	New Jersey	0.644208139
NM	New Mexico	0.545108189
NY	New York	0.56756004
NC	North Carolina	0.644891332
ND	North Dakota	0.607569284
OH	Ohio	0.629118449
OK	Oklahoma	0.522994099
OR	Oregon	0.661779353
PA	Pennsylvania	0.636196098
RI	Rhode Island	0.590504924
SC	South Carolina	0.566963173
SD	South Dakota	0.586357295
TN	Tennessee	0.510859524
TX	Texas	0.514027875
UT	Utah	0.568019692
VT	Vermont	0.63666497
VA	Virginia	0.661113362
WA	Washington	0.647473408
WV	West Virginia	0.502043198
WI	Wisconsin	0.694539248
WY	Wyoming	0.595438622
