Code	States	Population 2016
AL	Alabama	4842481
AZ	Arizona	6733840
AR	Arkansas	2967726
CA	California	38625139
CO	Colorado	5351218
CT	Connecticut	3594783
DE	Delaware	932596
FL	Florida	19860330
GA	Georgia	10069001
ID	Idaho	1631479
IL	Illinois	12888962
IN	Indiana	6593533
IA	Iowa	3109504
KS	Kansas	2900896
KY	Kentucky	4414483
LA	Louisiana	4644204
ME	Maine	1330760
MD	Maryland	5958165
MA	Massachusetts	6763652
MI	Michigan	9930589
MN	Minnesota	5451522
MS	Mississippi	2990623
MO	Missouri	6056293
MT	Montana	1021891
NE	Nebraska	1879522
NV	Nevada	2819012
NH	New Hampshire	1333223
NJ	New Jersey	8866780
NM	New Mexico	2090342
NY	New York	19656330
NC	North Carolina	9933944
ND	North Dakota	737382
OH	Ohio	11602973
OK	Oklahoma	3878367
OR	Oregon	3964106
PA	Pennsylvania	12789101
RI	Rhode Island	1056017
SC	South Carolina	4823793
SD	South Dakota	849088
TN	Tennessee	6540826
TX	Texas	26977142
UT	Utah	2937399
VT	Vermont	625218
VA	Virginia	8312076
WA	Washington	7052439
WV	West Virginia	1849467
WI	Wisconsin	5751974
WY	Wyoming	582548
